at,candidate_id,ticket_id,state,decision,priority,author,likes,comments,posted_at_iso,seed_url,short_reason
"2025-10-16T09:52:50.843Z","CAND_61c7854763281dc0e6178970dd8b1e7148882970","9427e61d-2c5c-4f5e-a280-5449dc45f192","DONE","APPROVE","P1","ophe0628",193,99,"2025-07-31T02:18:31Z","https://www.threads.net/@ophe0628/post/DMwVAVZSJKa","作者表達小草傾向不投國民黨、希望民眾黨與民進黨合作的政治立場與看法。"
"2025-10-16T09:53:17.714Z","CAND_10c11893f61ed7ef7ae49443c5402aa458382743","d231d1e4-8b92-44ff-adf2-3e090530f310","DONE","APPROVE","P1","yuan830511",735,47,"2025-07-31T05:39:37Z","https://www.threads.net/@yuan830511/post/DMwsBOHBCyv","作者批台灣司法不公，並以高虹安抄襲二審案為例，批評司法判決並引發爭論。"
"2025-10-16T09:53:45.968Z","CAND_8a0d82a5efcf715e60e514923bf7ff560f4a7600","65ea7b5e-37b9-4a24-aa6b-910566073252","DONE","APPROVE","P1","lushiowyen",2390,1206,"2025-07-31T05:15:56Z","https://www.threads.net/@lushiowyen/post/DMwpTwZRGO3","報導台中豪雨與土石流警戒，並說明市府應變與呼籲民眾注意安全。"
"2025-10-16T09:54:13.902Z","CAND_4d5ff214c13a7129e3b3219f56f6a4a8bbb4db5a","002b96ff-bf22-4c5c-b7ec-ec701c896ca5","DONE","APPROVE","P1","the__dust__",355,224,"2025-07-31T03:49:58Z","https://www.threads.net/@the__dust__/post/DMwfeK6J2a5","分享國民黨製作的反制圖卡，為明顯政治宣傳，可能引發討論"
"2025-10-16T09:54:22.123Z","CAND_06a4465c89c9e4f0786c361fe00d1476433b865e","29f4986e-ab29-41e5-bda3-91bb9fbecc60","DONE","APPROVE","P1","mr.kp157",2118,180,"2025-07-31T10:31:22Z","https://www.threads.net/@mr.kp157/post/DMxNZAtSRnn","質疑侯友宜在普發議題上的回應，可能引發討論。"
"2025-10-16T09:54:49.269Z","CAND_59f286a406cdf4b97ea9c479243f70c992dc40eb","de971b7d-d0ae-4f8a-9007-8010abde7fdf","DONE","APPROVE","P1","sss76337",557,35,"2025-09-29T09:14:52Z","https://www.threads.net/@sss76337/post/DPLkOaVE3ek","讚揚北市府與蔣萬安加速完工，帶有明確政治立場且易引發討論。"
"2025-10-16T09:54:50.125Z","CAND_e1950b412e2b4947bea7df4e9054104e89dfd934","b6d9d09b-e5cd-4878-921a-6c23f6256484","DONE","APPROVE","P1","fun_life_mannn",1763,260,"2025-07-30T12:13:20Z","https://www.threads.net/@fun_life_mannn/post/DMu0Cl9Sxgy","用貶抑語氣批評政治人物與選民翻臉現象，具明確立場並易引發討論。"
"2025-10-16T09:55:15.219Z","CAND_2c831a8b665cd040fe489b40b25a22ec5b2200a1","0310633f-a324-4d64-8857-d3ccb80c3aac","DONE","APPROVE","P1","mr.kp157",3382,121,"2025-09-29T11:10:33Z","https://www.threads.net/@mr.kp157/post/DPLxljXku9f","內容直接提及政治人物柯文哲，帶有明確負面評價且具爭議性，可能引發討論。"
"2025-10-16T09:55:16.198Z","CAND_1bbe1c8e218c49ca1e9fdc0354f9d1b7b32ef1c7","a7d0a569-310f-40a5-9b34-840d120c964d","DONE","APPROVE","P1","limingjou",345,75,"2025-09-29T08:52:24Z","https://www.threads.net/@limingjou/post/DPLhxxzgEu7","對民進黨的負面批評，表達明確立場並具爭議性，易引發討論。"
"2025-10-16T09:55:52.867Z","CAND_6c5911cd0740e615bf8aa8cb0e938d7ec7539b79","2df81608-1c0b-404d-94ca-bd1f7ffec991","DONE","APPROVE","P1","xmen777_kp",1486,35,"2025-09-29T08:11:24Z","https://www.threads.net/@xmen777_kp/post/DPLc-6MEV4m","支持柯文哲推動在地老化與長照政策，稱讚其前瞻與實務導向。"
"2025-10-16T10:03:18.527Z","CAND_21f8106d48e36f3a01902da3ee689640e77122c8","ff4c4ab6-0c16-409e-839d-1d582e781ba9","DONE","APPROVE","P1","chnyu._12",715,46,"2025-10-01T08:52:20Z","https://www.threads.net/@chnyu._12/post/DPQrXCCEi2p","指控黃國昌回避吹哨者協會調查員薪資問題並以激烈語氣反嗆，具政治討論性。"
"2025-10-16T10:03:21.343Z","CAND_6517756244d68270e30e4e9e2438388ecafbfa70","2000e274-f5ff-4483-9921-48f3c21d786f","DONE","APPROVE","P1","diamond420cool",997,149,"2025-09-30T10:07:33Z","https://www.threads.net/@diamond420cool/post/DPOPLEBkqwI","指控民進黨害怕黃國昌並公開支持柯文哲與黃國昌，具明確政治立場且易引發討論。"
"2025-10-16T10:03:39.575Z","CAND_e7320c526de6ba6d3a7176a123527cf3e4d7062d","74fbc6bd-ed04-4697-a37c-035f9cad66da","DONE","APPROVE","P1","jeantang_9527",2960,353,"2025-09-30T06:27:52Z","https://www.threads.net/@jeantang_9527/post/DPN2CCbE7UV","指控罷免花費動用天災預備金，批評執政黨未提供救災補助。"
"2025-10-16T10:04:03.320Z","CAND_f1b830992fb588f1364256f01f556c5957e044db","6a806803-f9e2-4eeb-8669-986701200205","DONE","APPROVE","P1","setnewslive",121,104,"2025-10-01T08:03:25Z","https://www.threads.net/@setnewslive/post/DPQlGY9jzQp","黃國昌否認攬功，指責40%少數政府煽動對立並呼籲賴清德冷靜，強調國家非民進黨所有。"
"2025-10-16T10:04:13.317Z","CAND_27d15ac71bd5a4c8d17df4e8d6da9094873e3157","a29b81e9-2c25-45bf-8fc6-dc94db57e291","DONE","APPROVE","P1","formyloveaugust.tw",271,49,"2025-10-01T08:41:18Z","https://www.threads.net/@formyloveaugust.tw/post/DPQqGI-Eytk","支持八炯並威脅抹黑者，具明確政治立場且易引發爭論。"
"2025-10-16T10:04:27.985Z","CAND_f329c13cb5215f54b21f32e50d40162876f34124","fdb889e8-5469-4c79-83d6-3834d8b7b21b","DONE","APPROVE","P1","daipai2024",140,295,"2025-09-30T07:25:16Z","https://www.threads.net/@daipai2024/post/DPN8mXNCZKO","文章批評黃國昌因心理不平衡、見不得沈伯洋好而以跟拍等手段企圖毀滅對方。"
"2025-10-16T10:04:34.060Z","CAND_1dfab7559b2b0d7f45b722c0b4cfe83173205a47","3148a7f7-2bb7-43fa-941c-9a5b4e36adcf","DONE","APPROVE","P1","baiyichenbai",1434,99,"2025-10-01T08:37:16Z","https://www.threads.net/@baiyichenbai/post/DPQpR4eiO59","指控國家機器介入調查黃國昌的D槽，並暗示憨川再次受挫。"
"2025-10-16T10:04:50.170Z","CAND_c484648f62d233483492fe49a3024f9a5f57f85d","a2f3cbca-8f97-46df-92b7-d63d6e36b45d","DONE","APPROVE","P1","wen820415",1782,270,"2025-09-28T00:25:52Z","https://www.threads.net/@wen820415/post/DPIDA66E5--","指責黃國昌涉跟蹤/偷拍，要求公開說明並負責"
"2025-10-16T10:06:06.573Z","CAND_09514f783f101e76fd572f60d5a2ae7dbe1bb1ae","353fd7b6-11a1-411d-9545-b4a0b7b0145f","DONE","APPROVE","P1","ayanomai_tk",1467,56,"2025-09-29T05:39:49Z","https://www.threads.net/@ayanomai_tk/post/DPLLvP6keiP","敘述因政治立場（綠營 vs 藍營）導致人際衝突與分手，具有明確政治立場並可引發討論。"
"2025-10-16T10:06:08.112Z","CAND_1184b2f6ea40455cf37557d8ab143c8b31403ca0","56927c93-8cdb-483c-9327-261c2edfcc1b","DONE","APPROVE","P1","ts_j._.0405_",113,57,"2025-09-28T16:23:51Z","https://www.threads.net/@ts_j._.0405_/post/DPJwpa0k5Hy","質疑網路暴力與個資外洩是否破壞台灣的言論自由。"
"2025-10-16T10:06:38.362Z","CAND_1049dd0215acfa12ddc88f2d5e2dee7363551a13","a7d60d4e-764f-4cb8-bcab-dacce9febf35","DONE","APPROVE","P1","gonu.h",2516,84,"2025-09-29T04:00:40Z","https://www.threads.net/@gonu.h/post/DPLAY9akka9","諷刺媒體人承認偷拍與跟監並自稱清高，涉及對政敵監視的政治爭議。"
"2025-10-16T10:06:53.517Z","CAND_8ace9e7fc3ae58524ed564c4d28ddeaad45a6cc4","3775e131-bc0b-4b8e-b936-aa36029a9143","DONE","APPROVE","P1","xiaohong3477",9368,711,"2025-09-27T21:13:22Z","https://www.threads.net/@xiaohong3477/post/DPHs-97kpYI","明確宣示2028選舉候選人組合並表示要將賴清德關進監獄，具政治立場且易引發討論。"
"2025-10-16T10:07:09.509Z","CAND_549e64908d36b4b80347ec4277425091dc51f4d8","a659d945-0ec0-407c-9730-4109daa0bdfc","DONE","APPROVE","P1","purplegp03d",1154,171,"2025-07-31T08:26:13Z","https://www.threads.net/@purplegp03d/post/DMw_FbfSUaf","討論高虹安若三審定讞有罪將被解職並批評選票無效與民進黨會回收職位，具政治討論性。"
"2025-10-16T10:07:12.708Z","CAND_a56b7bc1669a31f581c2efcf6e467c509654f7cf","ffd1d1f9-8040-4b74-b3e4-30c8f8bbb0a1","DONE","APPROVE","P1","mnewstw",179,88,"2025-07-31T08:44:00Z","https://www.threads.net/@mnewstw/post/DMxBHvSJaoX","議員提案新北普發1.6萬元還稅，侯友宜回應「不要扯東扯西」，具明確政治議題與討論性。"
"2025-10-16T10:07:30.243Z","CAND_0cac51737086a99a48375e9397a0e9b4c0333b0e","ddb515ae-f77b-40e3-81e1-294e2072d2f4","DONE","APPROVE","P1","mrsmoney99",648,61,"2025-07-31T08:27:31Z","https://www.threads.net/@mrsmoney99/post/DMw_PBkRSFu","批評新北市在國民黨執政下財務虧損且質疑每年超收，表達痛心與不滿。"
"2025-10-16T10:07:38.714Z","CAND_6edc597c94c893ec3607483609a7a2b7b95d7e52","a8329c08-86c5-4f9a-bac9-ebfd1fab3273","DONE","APPROVE","P1","setnews",406,399,"2025-07-31T03:49:32Z","https://www.threads.net/@setnews/post/DMwfa-wBjvH","報導涉及台美投資與稅率議題，並引用傅崐萁主張美國關稅協定需經立法院同意，可引發討論。"
"2025-10-16T10:08:16.843Z","CAND_3882b5e818db9a6c1023d2bf7864f702d8135dc6","d4128759-cd45-43a5-9385-02207ab7ab91","DONE","APPROVE","P1","jeffany_lin",13000,1843,"2025-07-31T05:08:22Z","https://www.threads.net/@jeffany_lin/post/DMwocWnBdAI","以薪資與物價比較批評兩黨，表達對民進黨較負面且具爭議的觀點。"
"2025-10-16T10:08:29.007Z","CAND_cf3c98e5078bb7eeabd6e492b4cf73ca56567cb5","c4e03b93-a267-4aea-8a67-eddabb0ce0a6","DONE","APPROVE","P1","andy_dlbwdm",219,113,"2025-07-31T08:25:19Z","https://www.threads.net/@andy_dlbwdm/post/DMw--39B2XN","批評民進黨立委以是否把核廢料放到個人家中來反駁核電支持者，指其論述低程度且缺乏專業。"
"2025-10-16T10:09:29.566Z","CAND_061060ed8d025c3f1ba76479cae22abd45649d5c","84026257-de7c-4f5d-8196-b2d0911e6168","DONE","APPROVE","P1","jeffany_lin",450,222,"2025-07-31T05:34:41Z","https://www.threads.net/@jeffany_lin/post/DMwrdFbhcp8","鼓勵不再支持民進黨者改支持台灣民眾黨。"
"2025-10-16T10:09:35.477Z","CAND_8200717de16be59820055ba1bf1bbd617810ae1f","0a0ffaa5-1df1-4627-847d-0aa116a667c1","DONE","APPROVE","P1","v40316",4817,1676,"2025-07-31T01:56:01Z","https://www.threads.net/@v40316/post/DMwSbh1PHEQ","鼓勵從民進黨轉而支持台灣民眾黨的政治宣傳性內容。"
"2025-10-16T10:10:02.714Z","CAND_2ef37701857fe1b5a771f01d8c0a372b12800546","44a61630-8f23-49b7-893b-30c24339a43c","DONE","APPROVE","P1","poyu0814",2728,2567,"2025-09-28T09:46:32Z","https://www.threads.net/@poyu0814/post/DPJDLXMEibC","作者主張禁止大陸食品進口是為保護台灣休閒食品業，擔憂開放會導致業者倒閉。"
"2025-10-16T10:10:06.291Z","CAND_2b9d3b3ce72f5e8b24400c97ce6be692c799ea25","105502fb-97e2-45db-a8fe-5460edb0b220","DONE","APPROVE","P1","cstrcmp",159,154,"2025-09-28T23:42:53Z","https://www.threads.net/@cstrcmp/post/DPKi45hkwol","指控柯文哲收受沈慶京1500萬，要求判刑沒收並用於救災，鼓勵分享。"
"2025-10-16T10:10:31.227Z","CAND_17390ea2ba2d023a1991d3d747f6dcd989845e12","d2a87e74-99d1-45ae-b9c3-08fa0feba833","DONE","APPROVE","P1","musiclin_1107",3808,156,"2025-09-29T11:46:18Z","https://www.threads.net/@musiclin_1107/post/DPL1lQCEiJ1","感謝民眾黨來救災，但希望不要在救災場合喊政治口號或罵人。"
"2025-10-16T10:10:38.470Z","CAND_be3371f5d8124396d37da217ea82131c196b012d","358c2469-7ac2-4549-80ca-25db0815bbe5","DONE","APPROVE","P1","regina_rainywar",4231,133,"2025-09-29T10:59:29Z","https://www.threads.net/@regina_rainywar/post/DPLwUgxjziw","以性侮辱攻擊光復相關人物並對罹難者幸災樂禍，具爭議性且與政治議題相關。"
"2025-10-16T10:10:56.005Z","CAND_8a96bbd6ff7aebcfa243a91726e17083a8a0b5d9","7f74b3c5-7148-4005-9ccc-8b4878c6174a","DONE","APPROVE","P1","dpp_rubbish",832,55,"2025-09-29T12:03:27Z","https://www.threads.net/@dpp_rubbish/post/DPL3pDSEgOg","對民進黨的負面嘲諷，立場明確且可能引發討論。"
"2025-10-16T10:18:25.072Z","CAND_baa7069d20b60ebbdd295f79f2edd0459ac9fd8b","a91dbe77-7f2f-4e5b-9187-6ed477a6e720","DONE","APPROVE","P1","madao.oh",3369,62,"2025-09-30T14:36:50Z","https://www.threads.net/@madao.oh/post/DPOt_Qyj32B","指控黃國昌監控阿北，屬具爭議且可引發討論的政治主張。"
"2025-10-16T10:18:39.881Z","CAND_53c1717777a4b22f21dd343a82cab13cdd31dd0e","f2f15d11-7213-4236-b7b1-9b05638f30b7","DONE","APPROVE","P1","jack08105",1119,95,"2025-10-01T06:50:22Z","https://www.threads.net/@jack08105/post/DPQdZpJgUDq","質疑鏡新聞資金來源並暗示可能與中共有關，具明確立場且易引發討論。"
"2025-10-16T10:18:57.526Z","CAND_74ae16d4b8ae4076c727f8493ec50a955cea873d","c0894c3c-25e3-4afe-aa6e-71b45bedf37c","DONE","APPROVE","P1","oz000_",464,136,"2025-09-30T18:22:50Z","https://www.threads.net/@oz000_/post/DPPH2n2gdSD","作者指控執政黨攻擊黃國昌以掩蓋其揭露的事實，並呼籲拿出證據反駁。"
"2025-10-16T10:19:20.774Z","CAND_23550721fadf4f9650be47787f73b0ded4708ed7","cc236198-3ff3-4719-b423-bde1ca0344f9","DONE","APPROVE","P1","knews_taiwan",402,39,"2025-10-01T07:40:35Z","https://www.threads.net/@knews_taiwan/post/DPQjJgtktcq","黃國昌證實菱傳媒報導為吹哨者協會調查完成，並稱此為打擊弊案。"
"2025-10-16T10:19:41.396Z","CAND_ada5285564f644650c4d3da0f302c08799f47d27","233866a8-f1a3-4a27-856e-7d7964ca4570","DONE","APPROVE","P1","david1976ck",1978,39,"2025-10-01T00:52:09Z","https://www.threads.net/@david1976ck/post/DPP0aBNEii9","指黃國昌揭發的弊案多集中在藍白陣營，語帶嘲諷"
"2025-10-16T10:19:45.542Z","CAND_652e8a2cb22831f2a886459dd20c7deb14e0e7be","bf44e045-f34f-4fa7-87a6-3c949e628092","DONE","APPROVE","P1","xhxhwendyxhxh",6326,529,"2025-09-30T06:02:31Z","https://www.threads.net/@xhxhwendyxhxh/post/DPNzIZLk5b9","批評柯文哲及其支持者，指控使用跟監手法並譴責背叛阿北的支持者，具明確立場且易引發討論。"
"2025-10-16T10:20:17.583Z","CAND_6cca3a283c79f746c6f57fc688a637deb536d4c0","507a4bd1-1609-4326-bc35-c08b361b1561","DONE","APPROVE","P1","doro_tau",2144,119,"2025-10-01T06:55:23Z","https://www.threads.net/@doro_tau/post/DPQd-eYAO5k","正面稱讚揭露鏡傳媒海外資金，具政治性且易引發討論"
"2025-10-16T10:20:24.292Z","CAND_fab2a3cd9176cb721dab8202f8b865cb3bd3fea8","f1dfbc6c-971e-4987-9cc9-3ce452449ced","DONE","APPROVE","P1","chnyu._12",1190,80,"2025-10-01T10:32:55Z","https://www.threads.net/@chnyu._12/post/DPQ23rzkt8Y","報導指中央社控告謝幸恩，黃國昌批民進黨追殺記者並表達不滿。"
"2025-10-16T10:47:34.759Z","CAND_13b59a8d445d7a0843eecbe34388a2c293d37f00","3aa716e7-986d-49a2-9ccb-8a70e5b17548","DONE","APPROVE","P1","chengtsunghan",1183,72,"2025-10-01T09:23:59Z","https://www.threads.net/@chengtsunghan/post/DPQu-0pEpxK","報導中央社控告謝幸恩背信，並引述黃國昌批評民進黨互相推諉。"
"2025-10-16T10:47:50.376Z","CAND_bfb2f834efc6159790acc3d025028c898fb30b25","5ee06fb7-cd5d-40fc-8456-8249e591c8a4","DONE","APPROVE","P1","yisan0519",971,44,"2025-10-01T07:15:36Z","https://www.threads.net/@yisan0519/post/DPQgSclE4z0","質疑並比較吳春城與黃國昌及其相關組織的操作模式，並詢問黃國昌是否也應辭職。"
"2025-10-16T10:48:11.889Z","CAND_4553bbba05c7e83696b1a44fd54138c694b8130b","4d79b9d4-bf12-44f6-97ef-bafe11c073e4","DONE","APPROVE","P1","tvbslivenews",141,34,"2025-09-29T03:24:04Z","https://www.threads.net/@tvbslivenews/post/DPK8M8NE6y4","呼籲中央社記者謝幸恩因涉入與黃國昌相關的狗仔事件而請辭，具政治相關性與明確立場，易引發討論。"
"2025-10-16T10:48:25.483Z","CAND_308817d3984629080f3926acd5111a3fa49b96bc","a4de77e0-c0b4-493b-9285-9c4b03c004de","DONE","APPROVE","P1","arnor0911",2245,333,"2025-09-26T09:55:12Z","https://www.threads.net/@arnor0911/post/DPD6lDfDlPt","對賴清德表達強烈不滿並以侮辱性言詞批評，具政治性且可引發討論。"
"2025-10-16T10:48:52.562Z","CAND_477944d02f2c6d3242b34e6f861c2177bcdebee0","1671ee6a-9a8c-436e-8b47-e7651236bac9","DONE","APPROVE","P1","dr.brain_",3205,292,"2025-09-29T05:46:28Z","https://www.threads.net/@dr.brain_/post/DPLMW-liXWC","批評縣長與委員救災作為，表達不滿並具爭議性，易引發討論"
"2025-10-16T10:48:57.454Z","CAND_8db2526ad4fb674bab765ea3f4f54ce71680d67c","8a9c7dd2-d73c-4c2b-911f-9a9863fe526c","DONE","APPROVE","P1","gracewooh",2700,112,"2025-09-29T06:13:52Z","https://www.threads.net/@gracewooh/post/DPLPonzE7kf","內容針對賴清德與花蓮相關偵辦案提出指控與批評，具政治立場並易引發討論。"
"2025-10-16T10:49:14.989Z","CAND_43ea592e2c25bcff7c7f64c1632571a4d903eea3","73599c16-1678-4ad7-aaa3-762ddced4280","DONE","APPROVE","P1","chen_fang0329",993,1062,"2025-07-30T23:32:31Z","https://www.threads.net/@chen_fang0329/post/DMwCAdwTaF9","批評賴清德在總統府吹冷氣，指出身心障礙外送員在高溫下工作並表達不滿。"
"2025-10-16T10:49:24.452Z","CAND_888ceb8869bdd9e9618e5f6023937fc61676914a","cc2b27ff-b240-453a-91f4-f9cc1ed0efc6","DONE","APPROVE","P1","mirror_media",697,123,"2025-07-31T03:17:23Z","https://www.threads.net/@mirror_media/post/DMwbvgSpEQ5","報導高虹安二審敗訴，刑期6月不得易科罰金，可能須入監。"
"2025-10-16T10:49:47.242Z","CAND_a030964f927c825c2e931425f7d2583f6b38d520","f4fc9539-0bbd-401f-b345-00425b158d0d","DONE","APPROVE","P1","andrew_1993520",3422,2324,"2025-07-29T16:54:35Z","https://www.threads.net/@andrew_1993520/post/DMsvrI6T_dS","詢問黃國昌過去是否反核並質疑其為何主張重啟核三，具討論潛力但資訊不全。"
"2025-10-16T10:50:34.171Z","CAND_a9bce177900934f6d4f739c3cbad10a1f6eca70a","f99fa421-ee60-4910-a581-8071d6366b33","DONE","APPROVE","P1","jin.xiao.bei666",2588,783,"2025-07-31T02:23:41Z","https://www.threads.net/@jin.xiao.bei666/post/DMwVmILzeOk","主張以科學方式處理核廢料，認為核能風險集中可控且優於火力造成的空氣污染，具有明確立場與討論空間"
"2025-10-16T10:50:58.939Z","CAND_5b9dbf9b6f403579fcbfb67589c90524090be8ab","d215c416-eb8a-4a70-9078-1a7b8782bdd5","DONE","APPROVE","P1","s291462",2068,89,"2025-07-31T04:06:17Z","https://www.threads.net/@s291462/post/DMwhVm-S6ie","針對高虹安涉抄襲與司法判決的批評，帶有明確立場且具討論性。"
"2025-10-16T10:51:23.263Z","CAND_ef198747f76faea5cd87df8fa05aac2511e774ac","2fbeb65f-a032-4013-b42a-64fb1ddcd6cf","DONE","APPROVE","P1","viki5417",878,35,"2025-09-29T08:32:21Z","https://www.threads.net/@viki5417/post/DPLfe3zCf7j","作者批評施淑婷感謝被打老師的言論，並以諷刺方式連結柯文哲與黃國昌。"
"2025-10-16T10:51:35.255Z","CAND_de8abaf22621b051e74e3b1f90422026dd717eb3","cf158f3d-9d78-4df3-a9c2-83ead0d73ec4","DONE","APPROVE","P1","cxc____522",21000,585,"2025-09-28T18:04:41Z","https://www.threads.net/@cxc____522/post/DPJ8L6nkm5y","批評孫粉並表達失望，語氣負面且可能引發討論"
"2025-10-16T15:44:40.709Z","CAND_93b222aafea444c27d56c0f897c3ae5d40e0bcb8","90caa3be-f635-400f-a4d0-e1697e1c92e1","DONE","APPROVE","P1","rukijum",566,49,"2025-10-01T08:15:15Z","https://www.threads.net/@rukijum/post/DPQnHYOATRk","支持黃國昌揭露民進黨與側翼媒體抹黑的指控，立場鮮明且具爭議性。"
"2025-10-16T15:44:50.482Z","CAND_58ee5bb4d0cfb4550cbb5ba9c88945f88164f810","02ec6d9d-aa9f-4a16-b0be-aec3bfbb67b7","DONE","APPROVE","P1","sherlie52315",1365,42,"2025-09-30T16:51:02Z","https://www.threads.net/@sherlie52315/post/DPO9DWyEmlE","稱讚政治人物履行承諾並慶祝對手退選，具體表達支持立場且易引發討論。"
"2025-10-16T15:45:04.619Z","CAND_3966c0818246244624a2fb5841ee06dc8e645588","e5429ac2-cf06-4736-811f-710ab97f2b8f","DONE","APPROVE","P1","3qchen",4606,42,"2025-09-28T08:12:31Z","https://www.threads.net/@3qchen/post/DPI4axDkVpG","以諷刺口吻批評支持者與被支持者的互動，具政治相關性且易引發討論。"
"2025-10-16T15:45:08.382Z","CAND_7abd48cd0ad682fc9886a122a03f07d093e8d486","92a6f425-bc0f-4d8b-a5b4-eb07eb0342db","DONE","APPROVE","P1","tpp_taiwan",677,35,"2025-09-29T05:21:24Z","https://www.threads.net/@tpp_taiwan/post/DPLJoXNifJv","台灣民眾黨志工在花蓮協助救災並公布物資與聯絡資訊，呈現正面政黨形象。"
"2025-10-16T15:45:22.741Z","CAND_96db99d9761f8e386e14b8a2c86055983d086a5e","39904d95-851a-42b7-aaa0-6eac9deda8e9","DONE","APPROVE","P1","evil.chihuahua",200,53,"2025-07-31T08:58:42Z","https://www.threads.net/@evil.chihuahua/post/DMxCzV9z22b","作者主張高虹安在誣告案中有罪，強調爭點非抄襲而是誣告與法院判決。"
"2025-10-16T15:45:25.280Z","CAND_0b34834e199f78fb910df957477258213d8b747f","dfbadd5e-af52-4ac1-8a92-73f942e5bb4b","DONE","APPROVE","P1","stevenwlliao",362,982,"2025-07-30T17:50:07Z","https://www.threads.net/@stevenwlliao/post/DMva0qVv2wF","批評台中議員提案發放6萬元並質疑稅收短徵17億、要求下台。"
